State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,Events Inclucded,3221,87,133,153,48,451,0,0,Certification not required,50,0.062226,0.013269,0.094,07/14/2006 01:00:00 PM,0.092,06/28/2006 01:00:00 PM,0.091,07/16/2006 05:00:00 PM,0.09,07/23/2006 11:00:00 AM,,,,,0.092,0.091,0.087,0.078,0.069,0.062,0.047,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,Concurred Events Excluded,3221,87,133,153,48,451,0,0,Certification not required,50,0.062226,0.013269,0.094,07/14/2006 01:00:00 PM,0.092,06/28/2006 01:00:00 PM,0.091,07/16/2006 05:00:00 PM,0.09,07/23/2006 11:00:00 AM,,,,,0.092,0.091,0.087,0.078,0.069,0.062,0.047,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,Events Excluded,3173,87,133,153,0,451,0,0,Certification not required,49,0.061763,0.012822,0.092,06/28/2006 01:00:00 PM,0.09,07/23/2006 11:00:00 AM,0.089,07/19/2006 01:00:00 PM,0.087,06/12/2006 04:00:00 PM,,,,,0.09,0.089,0.085,0.078,0.069,0.062,0.047,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Concurred Events Excluded,3231,87,133,153,0,0,0,0,Certification not required,0,0.055752,0.012571,0.084,07/16/2006 11:00:00 AM,0.081,06/12/2006 11:00:00 AM,0.079,07/14/2006 11:00:00 AM,0.078,06/11/2006 11:00:00 AM,,,,,0.081,0.079,0.075,0.069,0.063,0.057,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Excluded,3197,87,133,153,0,0,0,0,Certification not required,0,0.055331,0.012157,0.081,06/12/2006 11:00:00 AM,0.078,06/11/2006 11:00:00 AM,0.076,07/15/2006 09:00:00 AM,0.076,07/19/2006 10:00:00 AM,,,,,0.078,0.076,0.073,0.068,0.063,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Inclucded,3231,87,133,153,0,0,0,0,Certification not required,0,0.055752,0.012571,0.084,07/16/2006 11:00:00 AM,0.081,06/12/2006 11:00:00 AM,0.079,07/14/2006 11:00:00 AM,0.078,06/11/2006 11:00:00 AM,,,,,0.081,0.079,0.075,0.069,0.063,0.057,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Inclucded,3231,87,133,153,0,0,6,6,Certification not required,0,0.055752,0.012571,0.084,07/16/2006 11:00:00 AM,0.081,06/12/2006 11:00:00 AM,0.079,07/14/2006 11:00:00 AM,0.078,06/11/2006 11:00:00 AM,,,,,0.081,0.079,0.075,0.069,0.063,0.057,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Concurred Events Excluded,3231,87,133,153,0,0,6,6,Certification not required,0,0.055752,0.012571,0.084,07/16/2006 11:00:00 AM,0.081,06/12/2006 11:00:00 AM,0.079,07/14/2006 11:00:00 AM,0.078,06/11/2006 11:00:00 AM,,,,,0.081,0.079,0.075,0.069,0.063,0.057,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Excluded,3197,87,133,153,0,0,4,4,Certification not required,0,0.055331,0.012157,0.081,06/12/2006 11:00:00 AM,0.078,06/11/2006 11:00:00 AM,0.076,07/15/2006 09:00:00 AM,0.076,07/19/2006 10:00:00 AM,,,,,0.078,0.076,0.073,0.068,0.063,0.056,0.042,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",08/04/2012 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2006,Knots,No Events,8751,100,365,365,0,9,,,Certification not required,0,4.926043,3.216048,25.2,05/26/2006 10:00:00 PM,23.9,12/17/2006 01:00:00 AM,23.3,04/05/2006 07:00:00 AM,22.7,12/29/2006 04:00:00 AM,,,,,16.2,14.2,11.5,9.3,6.3,4,1.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",03/06/2010 12:00:00 AM,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
